name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Twin Peaks Hotel,48,115433826,,apartments,,,"POLYGON ((-122.4302076 37.7667504, -122.4305297 37.7670057, -122.4305508 37.7670208, -122.4305577 37.7671109, -122.4305419 37.7671186, -122.4303516 37.7669652, -122.4301436 37.7668042, -122.4302076 37.7667504))",POINT (-122.4303641 37.766927),378.8,4077.9
,49,115433827,,parking,,,"POLYGON ((-122.4312142 37.7660804, -122.4314003 37.766074, -122.4314376 37.7664077, -122.4312383 37.7664205, -122.4312142 37.7660804))",POINT (-122.4313225 37.7662477),637.8,6865.1
,50,115433828,,parking,,,"POLYGON ((-122.432108 37.7652637, -122.4323774 37.765472, -122.4323423 37.7655102, -122.4324035 37.765554, -122.4324213 37.7658308, -122.432313 37.7658354, -122.4322953 37.7655673, -122.4322134 37.7655921, -122.4319514 37.7653898, -122.432108 37.7652637))",POINT (-122.4322291 37.7655142),986.3,10616.4
,51,115944814,,yes,,,"POLYGON ((-122.4291367 37.7678145, -122.4292255 37.7678089, -122.4292294 37.7678497, -122.4292365 37.7679368, -122.4292258 37.7679374, -122.4292289 37.7679757, -122.4292429 37.767975, -122.4292432 37.7679788, -122.4292496 37.7680855, -122.4291647 37.768089, -122.4291367 37.7678145))",POINT (-122.4291938 37.7679486),233.2,2509.7
Golden Produce,52,115944817,,yes,,,"POLYGON ((-122.429159 37.7681604, -122.4291711 37.7681578, -122.4294601 37.768142, -122.4296035 37.7681357, -122.4296095 37.7682011, -122.4291652 37.7682257, -122.429159 37.7681604))",POINT (-122.4293835 37.76818),292.5,3148.3
U.S. Mint of San Francisco,53,115944818,,yes,,,"POLYGON ((-122.4278067 37.7703321, -122.4270918 37.7704215, -122.4269914 37.7699198, -122.4277063 37.7698304, -122.4278067 37.7703321))",POINT (-122.4273991 37.7701259),3596.2,38709.4
,54,115944822,,parking,,,"POLYGON ((-122.4300763 37.7685226, -122.4300578 37.7683322, -122.4295844 37.7683625, -122.4295934 37.7684628, -122.4296652 37.7685384, -122.4300763 37.7685226))",POINT (-122.4298386 37.7684372),833.6,8972.8
,55,115944826,,mixed_use,,,"POLYGON ((-122.4291647 37.768089, -122.4292496 37.7680855, -122.429335 37.7680796, -122.429425 37.7680743, -122.4294542 37.7680737, -122.4294601 37.768142, -122.4291711 37.7681578, -122.4291647 37.768089))",POINT (-122.4293129 37.7681156),195.3,2102.1
McKinley Elementary School,56,116553824,,school,,,"POLYGON ((-122.4357861 37.7672259, -122.4357292 37.766605, -122.4368168 37.7665426, -122.4368737 37.7671636, -122.4357861 37.7672259))",POINT (-122.4363015 37.7668843),6635.1,71419.8
Local 6 International Brotherhood of Electrical Workers,57,121024969,,social_centre,,,"POLYGON ((-122.4302775 37.7699937, -122.430268 37.7699502, -122.430158 37.7699651, -122.430141 37.7698721, -122.430504 37.7698267, -122.430513 37.7698707, -122.430537 37.7698686, -122.430545 37.7699161, -122.430325 37.7699438, -122.430339 37.7700172, -122.43056 37.7699894, -122.430581 37.7700945, -122.430261 37.7701346, -122.430246 37.7700295, -122.430283 37.7700249, -122.4302775 37.7699937))",POINT (-122.4303701 37.7699775),720.0,7750.1
462 Duboce Apartments,58,121024970,,social_facility,,,"POLYGON ((-122.4308084 37.7695866, -122.4308483 37.7695805, -122.4308718 37.7696925, -122.4308901 37.7697834, -122.4308056 37.7697924, -122.4308189 37.7698554, -122.4309025 37.7698449, -122.4309091 37.7698785, -122.4309425 37.7700458, -122.4307692 37.7700671, -122.4307631 37.770036, -122.4307432 37.7700384, -122.4307295 37.76997, -122.4307096 37.7698552, -122.4307842 37.7698488, -122.4307669 37.7697539, -122.4307749 37.7697425, -122.4307615 37.7696764, -122.4306766 37.7696872, -122.4306664 37.7696363, -122.4306757 37.7696351, -122.4306624 37.7695689, -122.4306531 37.7695701, -122.4306442 37.7695277, -122.430634 37.7695241, -122.4306292 37.7695184, -122.4306305 37.7695066, -122.4306361 37.7694977, -122.4306462 37.7694911, -122.4306735 37.769489, -122.4306735 37.7694826, -122.4307239 37.7694784, -122.4307362 37.7695564, -122.4307691 37.7695539, -122.4307757 37.7695925, -122.4308084 37.7695866))",POINT (-122.4307956 37.7697979),799.2,8602.5
Cafe du Nord,59,121024973,,pub,,,"POLYGON ((-122.4304632 37.7665513, -122.4306432 37.7666918, -122.4307109 37.7667446, -122.4305801 37.7668493, -122.4304937 37.7667818, -122.4303324 37.766656, -122.4303947 37.7666061, -122.4304632 37.7665513))",POINT (-122.4305216 37.7667003),501.2,5394.5
