name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,53,132501623,,terrace,,,"POLYGON ((-122.4325361 37.7686107, -122.4325297 37.7685466, -122.432642 37.7685396, -122.4327742 37.7685314, -122.4327805 37.7685954, -122.4325361 37.7686107))",POINT (-122.4326551 37.768571),153.8,1655.2
,54,132501625,,terrace,,,"POLYGON ((-122.4329535 37.7675865, -122.4330368 37.767581, -122.4330487 37.7676836, -122.4330533 37.7677197, -122.4330579 37.767761, -122.4329714 37.767773, -122.4329535 37.7675865))",POINT (-122.4330047 37.7676761),153.3,1649.8
,55,132501627,,terrace,,,"POLYGON ((-122.4324765 37.768268, -122.4324714 37.7682109, -122.4325901 37.7682042, -122.4326035 37.7682035, -122.4326659 37.7681999, -122.4326694 37.7682394, -122.4326418 37.7682409, -122.4326424 37.7682481, -122.4326088 37.76825, -122.4326098 37.7682605, -122.4324765 37.768268))",POINT (-122.4325653 37.7682326),101.8,1096.2
,56,132501628,,terrace,,,"POLYGON ((-122.4325595 37.7688962, -122.4325547 37.7688384, -122.4327543 37.7688277, -122.4327879 37.7688259, -122.4327928 37.7688837, -122.4325595 37.7688962))",POINT (-122.4326737 37.7688611),131.8,1418.8
,57,132501629,,terrace,,,"POLYGON ((-122.4330368 37.767581, -122.4330454 37.7675713, -122.4330713 37.7675704, -122.4330818 37.7675761, -122.433089 37.7675688, -122.4331132 37.7675684, -122.4331231 37.7675721, -122.4331234 37.7675767, -122.4331244 37.7675895, -122.4331277 37.7676465, -122.4331324 37.7677006, -122.4331329 37.7677058, -122.4331239 37.7677091, -122.4331259 37.7677338, -122.4331359 37.7677346, -122.4331389 37.7677656, -122.4331393 37.7677756, -122.4331089 37.7677771, -122.4331059 37.7677598, -122.4330929 37.7677615, -122.4330879 37.7677715, -122.4330659 37.7677728, -122.4330579 37.767761, -122.4330533 37.7677197, -122.4330659 37.7677134, -122.4330889 37.767713, -122.4330859 37.767684, -122.4330487 37.7676836, -122.4330368 37.767581))",POINT (-122.4330901 37.7676666),147.7,1589.4
,58,132501630,,terrace,,,"POLYGON ((-122.4325095 37.7683551, -122.4324877 37.7683564, -122.4324798 37.7682729, -122.4325769 37.7682671, -122.4325847 37.7682781, -122.4326209 37.768274, -122.4326305 37.7682603, -122.4326953 37.7682565, -122.4327047 37.768289, -122.4327417 37.7682868, -122.4327468 37.768341, -122.4325095 37.7683551))",POINT (-122.432608 37.7683092),198.4,2135.3
,59,132501631,,terrace,,,"POLYGON ((-122.4325162 37.7684116, -122.4325095 37.7683551, -122.4327468 37.768341, -122.4327605 37.7683375, -122.4327652 37.7683762, -122.4326922 37.7683817, -122.4326942 37.7683983, -122.4326441 37.768402, -122.4325162 37.7684116))",POINT (-122.4326282 37.7683738),123.6,1330.1
,60,132501632,,terrace,,,"POLYGON ((-122.4324655 37.7681453, -122.4324575 37.7680732, -122.4325766 37.768064, -122.4325792 37.7680879, -122.4325905 37.7680871, -122.4325879 37.7680632, -122.432688 37.7680555, -122.4327113 37.7680539, -122.4327133 37.7680718, -122.4326547 37.7680759, -122.4326566 37.7680936, -122.4326717 37.7680979, -122.4326788 37.7681167, -122.4326803 37.7681304, -122.4326049 37.7681357, -122.4326041 37.7681285, -122.4325644 37.7681312, -122.4325652 37.7681384, -122.4324655 37.7681453))",POINT (-122.4325714 37.7680999),150.7,1622.6
,61,132501634,,terrace,,,"POLYGON ((-122.4324575 37.7680732, -122.4324491 37.7680045, -122.4325757 37.7679947, -122.4325782 37.7680155, -122.4325927 37.7680144, -122.4325901 37.7679936, -122.4326436 37.7679895, -122.4326447 37.7679984, -122.4326806 37.7679956, -122.432688 37.7680555, -122.4325879 37.7680632, -122.4325766 37.768064, -122.4324575 37.7680732))",POINT (-122.4325663 37.7680313),150.3,1618.4
,62,132501635,,terrace,,,"POLYGON ((-122.4325639 37.7678483, -122.4326039 37.7678456, -122.4326099 37.7678374, -122.4326189 37.7678443, -122.4326599 37.7678408, -122.4326599 37.7678353, -122.4326529 37.7677384, -122.4326379 37.7677403, -122.4326339 37.7677186, -122.4326509 37.7677106, -122.432643 37.7675965, -122.4325495 37.7676038, -122.4325509 37.7676853, -122.4325539 37.7677143, -122.4325749 37.7677221, -122.4325769 37.7677477, -122.4325629 37.7677485, -122.4325609 37.7677966, -122.4325749 37.7678079, -122.4325619 37.7678283, -122.4325639 37.7678483))",POINT (-122.4326044 37.767721),216.5,2329.9
